report_id,data_riferimento,regione,2022,2023,2024,2025,totale,incidenza_pc,individui
INAPP_Focus-GOL_8-2025,2025-06-30,Campania,92242,166654,208326,75550,542772,13.9,485198
INAPP_Focus-GOL_8-2025,2025-06-30,Emilia-Romagna,44351,83889,89275,50693,268208,18.9,247688
INAPP_Focus-GOL_8-2025,2025-06-30,Friuli-Venezia Giulia,21712,39371,37727,15775,114585,13.8,99291
INAPP_Focus-GOL_8-2025,2025-06-30,Lazio,61755,79117,75319,34799,250990,13.9,239750
INAPP_Focus-GOL_8-2025,2025-06-30,Liguria,11846,21175,23636,9540,66197,14.4,61469
INAPP_Focus-GOL_8-2025,2025-06-30,Lombardia,77808,137806,165048,94294,474956,19.9,429881
INAPP_Focus-GOL_8-2025,2025-06-30,Marche,18614,36373,39355,16522,110864,14.9,97945
INAPP_Focus-GOL_8-2025,2025-06-30,Molise,1706,2661,4575,3833,12775,30,11707
INAPP_Focus-GOL_8-2025,2025-06-30,Piemonte,46728,73679,80798,53473,254678,21,231093
INAPP_Focus-GOL_8-2025,2025-06-30,Puglia,71239,102824,118272,59505,351840,16.9,332662
INAPP_Focus-GOL_8-2025,2025-06-30,Sardegna,40239,58562,53228,21707,173736,12.5,153894
INAPP_Focus-GOL_8-2025,2025-06-30,Sicilia,66021,168168,194357,83465,512011,16.3,467620
INAPP_Focus-GOL_8-2025,2025-06-30,Toscana,45283,84816,103419,53196,286714,18.6,244876
INAPP_Focus-GOL_8-2025,2025-06-30,P.A. Trento,4889,8030,8073,4440,25432,17.5,24369
INAPP_Focus-GOL_8-2025,2025-06-30,Umbria,11109,20360,21366,10578,63413,16.7,56053
INAPP_Focus-GOL_8-2025,2025-06-30,Veneto,40726,116590,111670,53015,322001,16.5,280561
INAPP_Focus-GOL_8-2025,2025-06-30,Totale,704439,1295125,1448463,694700,4142727,16.8,3745845
INAPP_Focus-GOL_9-2025,2025-08-31,Abruzzo,9642,25228,24148,13921,72939,19.1,66528
INAPP_Focus-GOL_9-2025,2025-08-31,Basilicata,6460,12979,18749,13020,51208,25.4,44085
INAPP_Focus-GOL_9-2025,2025-08-31,P.A. Bolzano,2425,5875,5611,3217,17128,18.8,15301
INAPP_Focus-GOL_9-2025,2025-08-31,Calabria,28287,48864,63337,40026,180514,22.2,163148
INAPP_Focus-GOL_9-2025,2025-08-31,Campania,92156,166448,208216,99223,566043,17.5,502543
INAPP_Focus-GOL_9-2025,2025-08-31,Emilia-Romagna,44370,83986,89354,62848,280558,22.4,257367
INAPP_Focus-GOL_9-2025,2025-08-31,Friuli-Venezia Giulia,21694,39330,37706,22033,120763,18.2,103314
INAPP_Focus-GOL_9-2025,2025-08-31,Lazio,61715,79036,75317,49664,265732,18.7,251843
INAPP_Focus-GOL_9-2025,2025-08-31,Liguria,11842,21190,23800,12297,69129,17.8,63859
INAPP_Focus-GOL_9-2025,2025-08-31,Lombardia,77651,137636,164866,152205,532358,28.6,479047
INAPP_Focus-GOL_9-2025,2025-08-31,Marche,18590,36332,39308,21563,115793,18.6,101537
INAPP_Focus-GOL_9-2025,2025-08-31,Molise,1703,2660,4574,5327,14264,37.3,12973
INAPP_Focus-GOL_9-2025,2025-08-31,Piemonte,46640,73628,80775,68710,269753,25.5,243420
INAPP_Focus-GOL_9-2025,2025-08-31,Puglia,71121,102737,118416,86415,378689,22.8,355411
INAPP_Focus-GOL_9-2025,2025-08-31,Sardegna,40113,58428,53115,31307,182963,17.1,161429
INAPP_Focus-GOL_9-2025,2025-08-31,Sicilia,65814,167467,194251,133307,560839,23.8,501010
INAPP_Focus-GOL_9-2025,2025-08-31,Toscana,45156,84710,103313,75041,308220,24.3,261538
INAPP_Focus-GOL_9-2025,2025-08-31,P.A. Trento,4890,8030,8091,5688,26699,21.3,25371
INAPP_Focus-GOL_9-2025,2025-08-31,Umbria,11067,20333,21346,14004,66750,21,58465
INAPP_Focus-GOL_9-2025,2025-08-31,Veneto,40712,116535,111637,68042,336926,20.2,291815
INAPP_Focus-GOL_9-2025,2025-08-31,Totale,703345,1293357,1447988,979748,4424438,22.1,3966331
