regione;anno;trimestre;trimestre_roman;flusso;variabile;valore;file_origine
Totale (d);2017;2;II;cessazioni;lavoratori;1779555.0;Allegato-IV-Trimestre-2021.xlsx
Totale (d);2017;2;II;cessazioni;media;1.410067685460691;Allegato-IV-Trimestre-2021.xlsx
Trento;2017;2;II;avviamenti;rapporti;35492.0;Allegato-IV-Trimestre-2021.xlsx
Trento;2017;2;II;avviamenti;lavoratori;31070.0;Allegato-IV-Trimestre-2021.xlsx
Trento;2017;2;II;avviamenti;media;1.1423237850016092;Allegato-IV-Trimestre-2021.xlsx
Trento;2017;2;II;cessazioni;rapporti;26003.0;Allegato-IV-Trimestre-2021.xlsx
Trento;2017;2;II;cessazioni;lavoratori;22324.0;Allegato-IV-Trimestre-2021.xlsx
Trento;2017;2;II;cessazioni;media;1.1648002150152303;Allegato-IV-Trimestre-2021.xlsx
Umbria;2017;2;II;avviamenti;rapporti;35373.0;Allegato-IV-Trimestre-2021.xlsx
Umbria;2017;2;II;avviamenti;lavoratori;27338.0;Allegato-IV-Trimestre-2021.xlsx
Umbria;2017;2;II;avviamenti;media;1.2939132343258468;Allegato-IV-Trimestre-2021.xlsx
Umbria;2017;2;II;cessazioni;rapporti;31046.0;Allegato-IV-Trimestre-2021.xlsx
Umbria;2017;2;II;cessazioni;lavoratori;22920.0;Allegato-IV-Trimestre-2021.xlsx
Umbria;2017;2;II;cessazioni;media;1.3545375218150086;Allegato-IV-Trimestre-2021.xlsx
